Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-March-2014,32.6,32.85,31.95,32.1,32.4279286716751,96904,995,3142396,53321,55.02,0.9,-0.5
14-March-2014,32,32,30,31.3,31.2126957177891,95418,689,2978253,54117,56.72,2,-0.7
18-March-2014,31.75,31.9,31.3,31.45,31.5636566120892,42203,344,1332081,22537,53.4,0.6,-0.3
19-March-2014,32.1,32.1,31.6,31.7,31.7731609019488,39204,253,1245635,24292,61.96,0.5,-0.4
20-March-2014,31.8,31.8,31.4,31.45,31.5380334710913,24439,259,770758,15858,64.89,0.4,-0.35
21-March-2014,31.6,31.85,31.45,31.65,31.6534150471736,24802,261,785068,13377,53.94,0.4,0.05
22-March-2014,32.1,32.15,31.55,31.8,31.7317701274058,14756,104,468234,10664,72.27,0.6,-0.3
24-March-2014,31.9,32.1,31.8,31.85,31.9571735915019,44622,306,1425993,33613,75.33,0.3,-0.05
25-March-2014,31.85,32.65,31.4,32.5,32.2350448938354,61367,469,1978168,41487,67.6,1.25,0.65
26-March-2014,32.75,33.9,32.75,33.65,33.5018417164381,144159,1165,4829592,98272,68.17,1.15,0.9
27-March-2014,33.7,36,33.7,35.65,34.8694784127776,172301,1391,6008046,109703,63.67,2.3,1.95
28-March-2014,35.95,40.1,35.9,38.8,38.0423821598013,419233,2992,15948622,250362,59.72,4.2,2.85
31-March-2014,39,39.7,38.3,38.95,38.9059688965387,328838,1981,12793761,143576,43.66,1.4,-0.05
1-April-2014,39.7,39.85,38.1,38.35,38.6144219039443,110665,1058,4273265,48425,43.76,1.75,-1.35
2-April-2014,38.9,39.2,37.8,38.9,38.4914259741333,145206,1099,5589186,63610,43.81,1.4,0
3-April-2014,39,39.25,37.9,38.15,38.2940891179145,98970,802,3789966,52511,53.06,1.35,-0.85
4-April-2014,38.2,38.5,37.65,38.15,38.124219226976,63879,556,2435337,29268,45.82,0.85,-0.05
7-April-2014,39,39,37.75,37.95,37.9730075878401,41382,397,1571399,28067,33.91,1.25,-1.05
9-April-2014,39,39,37.15,38.7,38.4399751347759,93303,909,3586565,57358,30.74,1.85,-0.3
10-April-2014,39,39.55,38.65,38.85,39.1119059041223,116732,1256,4565611,54210,46.44,0.9,-0.15
11-April-2014,39,39.85,38.1,39.05,39.2414557322303,131755,1243,5170258,45394,34.45,1.75,0.05
15-April-2014,39,39.35,38.4,38.5,38.6556531549682,49636,638,1918712,28914,58.25,0.95,-0.5
16-April-2014,38.85,38.85,37.15,37.55,38.0289877326782,58611,659,2228917,29850,50.93,1.7,-1.3
17-April-2014,37.9,39,37.85,38.25,38.3323668223126,79668,983,3053863,24111,30.26,1.15,0.35
21-April-2014,38.2,38.7,38.1,38.35,38.4128703753859,36922,419,1418280,18227,49.37,0.6,0.15
22-April-2014,38.3,38.6,38.2,38.35,38.3798457601209,58221,582,2234513,29842,51.26,0.4,0.05
23-April-2014,38.1,38.5,38.1,38.35,38.3861907156025,29835,441,1145252,19687,65.99,0.4,0.25
25-April-2014,38.5,38.75,38.15,38.25,38.4062845142724,64285,634,2468948,27590,42.92,0.6,-0.25
28-April-2014,38.15,38.3,37.9,38.15,38.1102749516522,47572,552,1812982,23971,50.39,0.4,0
29-April-2014,38.3,38.4,37.85,37.9,38.0580869871922,45363,592,1726429,27275,60.13,0.55,-0.4
30-April-2014,37.7,40.25,37.7,38.35,39.2316839924475,326777,3879,12820012,110511,33.82,2.55,0.65
2-May-2014,38.8,39,37,37.3,37.8260847845418,100089,953,3785975,62886,62.83,2,-1.5
5-May-2014,37.7,38.2,37.4,37.55,37.7258529031283,105903,978,3995281,56886,53.72,0.8,-0.15
6-May-2014,38,38.2,37.2,37.5,37.7906478873239,79875,785,3018528,37815,47.34,1,-0.5
7-May-2014,38.5,38.5,37.1,37.25,37.3536167836243,41183,457,1538334,20468,49.7,1.4,-1.25
8-May-2014,37.4,37.5,36.55,36.75,36.9786067279348,46136,470,1706045,27564,59.75,0.95,-0.65
9-May-2014,36.75,37.9,36.5,37.4,37.3758312464241,106617,1300,3984899,23775,22.3,1.4,0.65
12-May-2014,37.9,38.25,37.5,37.8,37.9638978411549,90604,1014,3439681,46996,51.87,0.75,-0.1
13-May-2014,38.75,41.25,38.2,38.8,39.3014418516411,896070,10160,35216843,141261,15.76,3.05,0.05
14-May-2014,38.8,40,38.5,39.75,39.5224186220956,330618,3066,13066823,135834,41.08,1.5,0.95
15-May-2014,39.8,40.75,39,39.2,39.8398945037446,200955,2000,8006026,79189,39.41,1.75,-0.6
16-May-2014,39.6,41.9,39.6,40.15,40.8712482584241,484475,4587,19801098,219734,45.36,2.3,0.55
19-May-2014,40.35,43,40.35,42.9,42.0080122142723,367439,4523,15435382,183446,49.93,2.65,2.55
20-May-2014,43.25,45.25,43.25,44.5,44.522329595516,282607,3159,12582322,130578,46.2,2,1.25
21-May-2014,45,45.45,43.9,44.4,44.5775837166411,180012,2220,8024500,83005,46.11,1.55,-0.6
22-May-2014,44.6,46,44.6,45.65,45.4244495720379,243129,2354,11044001,113801,46.81,1.4,1.05
23-May-2014,45.55,50.1,45.4,48.75,47.4533856096836,423646,3453,20103437,208704,49.26,4.7,3.2
26-May-2014,49.25,54.5,46,49.95,51.6454172720482,827302,8290,42726357,296796,35.88,8.5,0.7
27-May-2014,50,50.1,47.1,47.7,48.15438415707,182441,2687,8785334,64507,35.36,3,-2.3
28-May-2014,48,49.5,48,48.65,48.6553529714535,101028,1765,4915553,38672,38.28,1.5,0.65
29-May-2014,49.85,49.85,47.4,47.55,48.2377892957979,194092,2359,9362569,85443,44.02,2.45,-2.3
30-May-2014,48.2,48.55,46.65,46.8,47.3900672818928,196784,1819,9325607,110480,56.14,1.9,-1.4
2-June-2014,47,49.15,47,48.85,48.567392737815,271461,2570,13184153,101101,37.24,2.15,1.85
3-June-2014,49,49.7,48.3,48.6,48.9437860475368,272210,2250,13322988,98286,36.11,1.4,-0.4
4-June-2014,48.75,51,48.35,50.75,50.0554709039477,278921,2534,13961522,102576,36.78,2.65,2
5-June-2014,51.4,54.4,50.45,53.05,52.8352911154718,732802,5745,38717807,199639,27.24,3.95,1.65
6-June-2014,54,54.85,53.5,54.2,54.1509858911194,392944,3235,21278305,150727,38.36,1.35,0.2
9-June-2014,54.5,55.15,52,53.8,54.1699599453842,440898,4154,23883427,195104,44.25,3.15,-0.7
10-June-2014,53.05,53.9,51.5,51.75,52.1410049135243,347612,3789,18124839,164319,47.27,2.4,-1.3
11-June-2014,51.9,53.05,49,49.7,51.5094285020939,770589,3543,39692599,528667,68.61,4.05,-2.2
12-June-2014,49.95,50.65,48.65,48.95,49.4924677919113,294336,2755,14567415,114956,39.06,2,-1
13-June-2014,49,50,47,47.25,48.0949615988051,291918,2997,14039785,121090,41.48,3,-1.75
16-June-2014,47.25,47.25,45.1,46.45,46.1286996413797,319558,3125,14740795,87368,27.34,2.15,-0.8
17-June-2014,46.4,49.15,46.25,48.85,47.9391697714742,166677,2122,7990357,50114,30.07,2.9,2.45
18-June-2014,49.35,49.45,47.1,47.85,48.3412561278303,177673,2114,8588936,61030,34.35,2.35,-1.5
19-June-2014,48,48.6,47.25,47.45,47.8279151708549,90252,1386,4316565,28150,31.19,1.35,-0.55
20-June-2014,47,47.7,46.5,46.7,47.0758737419945,109300,1321,5145393,34867,31.9,1.2,-0.3
23-June-2014,47,47.85,46.7,47.5,47.2078959321692,79256,1145,3741509,28720,36.24,1.15,0.5
24-June-2014,48.3,48.5,47.65,47.8,48.0352667450653,79083,1035,3798773,36635,46.32,0.85,-0.5
25-June-2014,48,48,47.1,47.35,47.4492181329964,113958,1202,5407218,48785,42.81,0.9,-0.65
26-June-2014,47.35,47.8,47,47.2,47.3853369577173,63643,992,3015745,21248,33.39,0.8,-0.15
27-June-2014,47.5,47.85,46.7,47.55,47.3349042678812,94848,913,4489621,61816,65.17,1.15,0.05
30-June-2014,47.55,52.35,47.5,51.25,50.0368347709513,283455,3172,14183191,131727,46.47,4.85,3.7
1-July-2014,51.65,52.35,49.55,50,50.8026942901688,180233,1972,9156322,63364,35.16,2.8,-1.65
2-July-2014,51.5,52,48.95,49.5,49.8758324910536,183035,1271,9129023,125916,68.79,3.05,-2
3-July-2014,50.5,51.4,50.05,50.45,50.786802106397,133688,1490,6789586,47166,35.28,1.35,-0.05
4-July-2014,50.25,53,50.1,51.9,51.966704486435,448619,4829,23313251,126148,28.12,2.9,1.65
7-July-2014,51.9,53.8,51.9,53.25,53.1372148903922,405765,4316,21561222,152232,37.52,1.9,1.35
8-July-2014,53.85,53.85,50.1,50.9,52.5259822843614,357763,3764,18791853,169230,47.3,3.75,-2.95
9-July-2014,51,52.5,49.6,50.85,51.2808380956194,199834,2911,10247655,60088,30.07,2.9,-0.15
10-July-2014,51.5,52.25,48.7,50.6,50.9346688564132,359859,4472,18329299,90037,25.02,3.55,-0.9
11-July-2014,50.55,51.15,48.2,48.4,49.4610508895325,120850,1591,5977368,41753,34.55,2.95,-2.15
14-July-2014,48.5,49.15,46.9,47.3,47.9446411727412,129338,1961,6201064,51903,40.13,2.25,-1.2
15-July-2014,47.55,49,47.55,48.15,48.3186200273335,189511,2201,9156910,68109,35.94,1.45,0.6
16-July-2014,48.7,49.55,48.7,49.35,49.1912100131151,140296,1570,6901330,45453,32.4,0.85,0.65
17-July-2014,49.35,49.7,48.8,49.1,49.2061045369198,68703,903,3380607,23423,34.09,0.9,-0.25
18-July-2014,48.6,48.8,48,48.4,48.457461545381,55585,783,2693508,24698,44.43,0.8,-0.2
21-July-2014,48.9,49.15,48.3,48.45,48.7070809759547,67872,867,3305847,31986,47.13,0.85,-0.45
22-July-2014,48.7,48.9,47.1,48.3,48.4234494053977,56172,726,2720042,23726,42.24,1.8,-0.4
23-July-2014,48.85,49.25,48,48.5,48.530612244898,66395,726,3222190,27175,40.93,1.25,-0.35
24-July-2014,48.15,48.75,47.6,48.05,48.133293629376,53731,819,2586250,23014,42.83,1.15,-0.1
25-July-2014,48.25,48.25,46.9,47.2,47.4387743607075,62139,934,2947798,24710,39.77,1.35,-1.05
28-July-2014,47.2,48.4,47.2,47.55,47.5510199595533,45492,756,2163191,22315,49.05,1.2,0.35
30-July-2014,47.7,47.7,46.6,47.15,46.9730861010054,51126,819,2401546,21475,42,1.1,-0.55
31-July-2014,47,47.2,46.5,46.75,46.8555457413249,39625,665,1856651,16685,42.11,0.7,-0.25
1-August-2014,46.5,47.65,45.75,46.7,46.7361942993076,94164,1306,4400867,34247,36.37,1.9,0.2
4-August-2014,46.45,46.45,45.35,45.95,45.7455398393631,84414,1159,3861564,33120,39.24,1.1,-0.5
5-August-2014,46.1,46.75,45.75,46.05,46.0896707518329,73926,926,3407225,23507,31.8,1,-0.05
6-August-2014,46.05,46.25,45.4,45.6,45.8315422667349,41037,608,1880789,20452,49.84,0.85,-0.45
7-August-2014,45.6,45.9,44.9,45.05,45.2289466496723,43936,751,1987179,23942,54.49,1,-0.55
8-August-2014,45.05,45.05,43.4,43.45,43.8009705362978,71919,904,3150122,41334,57.47,1.65,-1.6
11-August-2014,43.45,44.1,43.45,43.7,43.8073070256399,44423,712,1946052,21674,48.79,0.65,0.25
12-August-2014,44.05,44.05,43.1,43.4,43.6746822629626,44455,582,1941558,21697,48.81,0.95,-0.65
13-August-2014,43.4,43.75,41.25,41.4,42.3800557716642,85348,1271,3617053,45190,52.95,2.5,-2
14-August-2014,41.25,42.2,41.15,41.95,41.6758607678521,53005,771,2209029,29019,54.75,1.05,0.7
18-August-2014,42,42.75,41.65,42.5,42.4686917425156,45595,678,1936360,23477,51.49,1.1,0.5
19-August-2014,42.1,43.75,42.1,43.45,43.436989613589,65759,789,2856373,31607,48.06,1.65,1.35
20-August-2014,43.5,43.5,42.9,42.95,43.1192025242231,35813,495,1544228,24640,68.8,0.6,-0.55
21-August-2014,43.1,44.35,42.8,44.05,43.9107806258516,85867,1150,3770487,34024,39.62,1.55,0.95
22-August-2014,44.1,44.9,43.9,44.2,44.4230643159842,85422,1125,3794707,33497,39.21,1,0.1
25-August-2014,44.65,44.75,42.5,42.85,43.5182557386486,69485,882,3023866,29891,43.02,2.25,-1.8
26-August-2014,42.4,42.8,41.6,42.3,42.1474971434128,41133,714,1733653,20530,49.91,1.2,-0.1
27-August-2014,42.3,43,41.7,42.85,42.4833304983841,47032,681,1998076,18116,38.52,1.3,0.55
28-August-2014,42.85,47.05,42,45.4,43.9547145240711,122865,1755,5400496,51138,41.62,5.05,2.55
1-September-2014,45.1,45.9,44.7,45.3,45.1247604950388,619507,1241,27955105,546420,88.2,1.2,0.2
2-September-2014,45.4,45.6,44.45,44.6,45.1320447549136,67568,780,3049482,34393,50.9,1.15,-0.8
3-September-2014,44.9,45.2,44.1,44.25,44.6525822320231,64847,879,2895586,30516,47.06,1.1,-0.65
4-September-2014,44.25,44.6,43.2,44.1,43.9391898009815,55221,906,2426366,24823,44.95,1.4,-0.15
5-September-2014,44,44.4,43.3,43.7,44.0362385773601,223022,909,9821050,193008,86.54,1.1,-0.3
8-September-2014,43.7,44.75,43.7,44.2,44.1852974959798,43530,662,1923386,13356,30.68,1.05,0.5
9-September-2014,44.2,44.4,43.75,44.05,44.1104615155944,40367,624,1780607,21093,52.25,0.65,-0.15
10-September-2014,43.25,44.75,43.25,44.35,44.2634553323121,67241,952,2976319,31311,46.57,1.5,1.1
11-September-2014,44.5,46.45,44.5,46.2,45.7479056367749,79141,1182,3620535,39818,50.31,1.95,1.7
12-September-2014,46.25,46.8,45.25,46.5,46.2094931870306,88948,1639,4110242,45038,50.63,1.55,0.25
15-September-2014,46.05,47.7,45.4,47.25,46.7379282269681,63868,1172,2985058,31841,49.85,2.3,1.2
16-September-2014,47.75,48.75,45.7,46.35,47.4994851490892,137904,1978,6550369,62019,44.97,3.05,-1.4
17-September-2014,46.6,46.8,45.15,45.45,45.697431018078,32581,637,1488868,17683,54.27,1.65,-1.15
18-September-2014,45.45,47.1,45.15,46.05,46.2532339839204,74753,1219,3457568,39177,52.41,1.95,0.6
19-September-2014,46,46.4,43.8,44.7,45.2686117978132,102341,1343,4632835,41996,41.04,2.6,-1.3
22-September-2014,44.7,45.05,44.3,44.7,44.7569153394803,51299,767,2295985,25793,50.28,0.75,0
23-September-2014,44.7,44.75,43.95,44.1,44.2500813200461,33817,575,1496405,17996,53.22,0.8,-0.6
24-September-2014,44.1,44.1,43.2,43.6,43.681225235657,55271,900,2414305,28206,51.03,0.9,-0.5
25-September-2014,43,43.4,41.6,41.85,42.2753077541351,94556,1315,3997384,49884,52.76,1.8,-1.15
26-September-2014,41.5,42.65,40,42.1,41.5468011504193,99442,1413,4131497,46864,47.13,2.65,0.6
29-September-2014,42,42.65,42,42.2,42.3980687404925,45359,551,1923134,18976,41.84,0.65,0.2
30-September-2014,42.2,42.75,41.7,41.9,42.271418908763,53224,784,2249854,24586,46.19,1.05,-0.3
1-October-2014,42,42.25,41.4,41.5,41.7308935460327,28773,561,1200723,12225,42.49,0.85,-0.5
7-October-2014,41.5,41.7,40.5,40.6,40.9327209005947,56496,866,2312535,34662,61.35,1.2,-0.9
8-October-2014,40.65,41.25,40.5,40.75,40.9106662026267,54593,729,2233436,22744,41.66,0.75,0.1
9-October-2014,41.3,42.75,41.1,42.35,42.1549204520913,69455,826,2927870,39154,56.37,1.65,1.05
